vehicle_id,depart,arrival,duration,routeLength,waitingTime,waitingCount,timeLoss,speed
0,0.0,13.0,13.0,135.82,0.0,0,2.65,10.447692307692307
4,4.0,33.0,29.0,279.12,0.0,0,6.66,9.624827586206896
18,18.0,38.0,20.0,144.53,0.0,0,7.0,7.2265
19,20.0,44.0,24.0,278.7,0.0,0,5.54,11.612499999999999
6,6.0,45.0,39.0,383.87,0.0,0,9.92,9.842820512820513
8,8.0,45.0,37.0,454.81,0.0,0,11.08,12.292162162162162
16,16.0,45.0,29.0,264.78,0.0,0,4.98,9.130344827586207
10,10.0,51.0,41.0,388.54,0.0,0,13.17,9.476585365853659
14,14.0,52.0,38.0,449.72,0.0,0,3.72,11.834736842105263
31,31.0,52.0,21.0,178.53,1.0,1,11.63,8.501428571428571
38,38.0,57.0,19.0,228.6,0.0,0,4.27,12.031578947368422
15,15.0,61.0,46.0,750.98,0.0,0,7.63,16.325652173913046
41,41.0,61.0,20.0,214.98,0.0,0,2.72,10.748999999999999
5,5.0,63.0,58.0,604.29,0.0,0,4.48,10.418793103448275
27,28.0,65.0,37.0,356.31,0.0,0,7.71,9.63
35,35.0,65.0,30.0,241.04,0.0,0,9.93,8.034666666666666
40,40.0,69.0,29.0,586.44,0.0,0,6.6,20.222068965517245
34,34.0,70.0,36.0,469.49,0.0,0,9.23,13.04138888888889
53,53.0,75.0,22.0,255.93,0.0,0,3.64,11.633181818181818
43,44.0,77.0,33.0,433.2,0.0,0,9.66,13.127272727272727
54,54.0,79.0,25.0,387.67,0.0,0,7.94,15.5068
46,46.0,81.0,35.0,294.44,0.0,0,12.07,8.412571428571429
56,56.0,82.0,26.0,235.72,0.0,0,4.95,9.066153846153846
22,22.0,84.0,62.0,355.45,24.0,1,33.62,5.733064516129032
13,13.0,88.0,75.0,1023.62,0.0,0,18.02,13.648266666666666
49,49.0,89.0,40.0,389.92,0.0,0,4.65,9.748000000000001
60,60.0,90.0,30.0,273.52,0.0,0,9.71,9.117333333333333
59,59.0,95.0,36.0,201.02,6.0,2,18.46,5.58388888888889
92,92.0,103.0,11.0,109.32,0.0,0,0.63,9.938181818181818
78,78.0,104.0,26.0,247.84,0.0,0,6.36,9.532307692307693
62,62.0,106.0,44.0,427.05,0.0,0,10.69,9.705681818181818
76,76.0,107.0,31.0,393.83,0.0,0,8.36,12.704193548387096
66,66.0,111.0,45.0,431.22,0.0,0,8.42,9.582666666666666
50,50.0,114.0,64.0,1218.09,0.0,0,10.63,19.03265625
100,100.0,114.0,14.0,116.77,0.0,0,3.95,8.340714285714286
103,103.0,115.0,12.0,104.53,0.0,0,2.51,8.710833333333333
63,63.0,116.0,53.0,457.66,7.0,1,19.01,8.635094339622642
65,65.0,117.0,52.0,749.01,0.0,0,12.69,14.40403846153846
96,96.0,117.0,21.0,191.29,0.0,0,6.33,9.109047619047619
61,61.0,119.0,58.0,858.07,0.0,0,11.7,14.794310344827586
84,84.0,120.0,36.0,427.9,0.0,0,7.4,11.886111111111111
107,107.0,122.0,15.0,153.24,0.0,0,2.75,10.216000000000001
86,86.0,123.0,37.0,340.01,0.0,0,10.36,9.18945945945946
81,81.0,125.0,44.0,857.2,0.0,0,7.93,19.481818181818184
